Name of Source,URL ,Type,Details,Image,Updated,Approved
The Quill Project,https://www.quillproject.net/m2/,"Example Projects,Text Analysis Tools","Developing cutting-edge tools to help teachers, lawyers and researchers interpret and teach key historical texts.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/yfTl9IqTB8qyJIgCrDI47g/WsRe4Khqzx82HuvcaA-Qu-OrM8eJFrkRLGhVuRI0WNXNL7KwXmHw7wtPMvavsGJ_s19ozpvI_2w0Ytl2Dp1nlFTuspNOca4gR5M7wh34kGu23IjqsWDAB599fcgHsu7mrL2LAJLLz_BNO_Zt2lQW7Q/KwxCJHyCspRXdb5d0PZQ13b157qs2srNNUQqHDoVIts),2/24/2025 11:22am,
Computer Vision Tools from Oxford’s Visual Geometry Group,https://www.robots.ox.ac.uk/~vgg/,"AI,Research Tools","Computer vision tools developed by Oxford’s Visual Geometry Group in collaboration with researchers in the humanities working in fields including book and art history, film, music and photography.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/KjYf7P_P9ImOXhoUprkeBQ/zhJc_yZ90NKKvJkbKQZ-2RJoG5vAc1gNrhqIdAWS7VnrrusmNoK_qb70WgCoJYNtXJq14-yWirQcNAxpUYKzCpdIFlaTTd7157iRB91A6TTq4wWnB6W4aakCZO9juVU_r57a9zHYzWS6jDP7M9U7ZA/X3Kc-EXr-I_DJmfdSnluRrfFuWTPSu2IksXF5oDsQNM),2/24/2025 11:24am,
Aviary Platform,https://www.aviaryplatform.com/,Digital Publishing,"Video and Audio Publishing Purpose Built for Libraries, Archives and Oral Histories.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/UNE_Pn_RUQ6JaRD22UrsBQ/RwqxHxY4cpdGMi6Yw65zYuhdwtBi6InvclbWTsMIUWqxJRlBxWyFa0Cp5X39BUmyGdK5YwEpPY6gx2L5pJHRHX13FDGn3hx3WVR0Q03deNO_N5P2d2dcwBlMHuX-OM3wIrwubMo-vqS_gIJxwo8e9A/Qo2ih217Qbdw2RO52Thh9hXfTG_dmqBj-7jhkz85JX0),2/26/2025 2:07pm,
DMPTool,https://dmptool.org/,Research Tools,"With a free, community-supported service that makes it easier to create machine-actionable data management and sharing plans (DMSPs) that meet funder requirements and follow open science best practice.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/Vamb66zHlhy1gdIS1cWTYw/mvDs0vLuIuseWhvcSRs8BKzu-4gVn138biF6IhuRyn0WOqRRaV2Ku0Oz2KdrA4qSCxeMz9Nf2Z22i_go7w9rM3AhxSQYtAZl8pjUNUCpEYNCysWQYQ9Pin-GpCcNC_YYYPc9kYMHJYtUa09zBOKSRA/CdCfL0c54JI1ylBFzeWBJt_mFOlIjFN_O9Sd_O3AG_s),2/28/2025 10:09am,
SMILE,https://smile.smm.ncsa.illinois.edu/,"Research Tools,Text Analysis Tools,Network Analysis Tools","SMILE empowers researchers to search content from multiple social media platforms all at once. Find tweets, individual user accounts, and comments that match specific criteria, and analyze content with just a few clicks. Both live and historical data are available for search.",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/G63Jgru8mUCY8bHR3gKwCQ/geoxGQqoblpPNpytFGTyoJ3kb_M21ltBF-qj9oXx_vmCh_sorZx8HtG3BKm5kJFBsKYjRbse9qomgUfSS3g5XyN0gusLJyx24aY12Da-crTNAT7g_sKOSgNkDdlERdRQLoqVHKuWje0RhGBOvwoULA/ESY7yl19rldXU281ZmOk34gKTdiMGnty2-2v7kyzFuw),2/28/2025 11:23am,
Softr,https://www.softr.io/,Website Builder & CMS Tools,,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/3VFipu1FT-w7xhjxJt1e_w/K0HBtzpyVfAw5dHpaBvatbWj-hsdCcS2Em5oDEuIxMErNBhuOWH15-zmRrCPniD8ZaHiKaliWHgY_1j5vKUzUHrV7_rpEDpWhRGxyqGhYITRQRToqlCNrIIC6645deMcZOxoe7Oace4Ot0Y46R69rw/KQqynbRjnSzGzqWRPrUhytSwztHNR7aKexg9PsuhQc0),3/4/2025 10:52am,
Luma,https://lumalabs.ai/,"AI,3D,Digital Media Production Tools",3D model and video generation.,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/wUJ1xoI9njiXgWBq8EjnPw/NuDeF2pnC95K5FtDA4OiLTb78VOo5-Dg11E8YRRt_eMiSAqYtB7fAd5G_Fpmj-gMmS1BULIrE7Mgk_dGn8It8STeM8ST_KuFPRxS5_RxPhRREfIBsjfVM7hvJcahqnZZ86Xd5VZpJ9IKZUTX5vP8Mg/JQS7RyOMrdU0dm5JcajR4uDWvGWMibLnCDOBw9P6iWg),3/10/2025 3:04pm,
Meshy,https://www.meshy.ai/,"AI,3D,Digital Media Production Tools",3D model generator,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/TtJpts3rLygk0Q09s3boOw/E_37QlpvSqdujx4deljVQXNGsZz7XH46AOl1SuQpoH5YdqcIuVy4dtNjku0mthxP3PYift-fSseODjMY76ej3AR4bR66ReKt-dJS0S5MBZ7w746ZJnydhHY9DY3uAb2GVuso_EkXswIVSxHi7ye19Q/DI4ZRpah5D7MAquBYQMWl2D61O5D2U3O9oXHCI2LqsM),3/10/2025 3:07pm,
Exhibit,https://www.exhibit.so/,"Digital Publishing,3D,Storytelling Tools","Create, narrate, and share virtual exhibits",image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/Qii8yaAaaWznMFWy1TV8Ng/RJanGJOoU8BcMw54dQYOA02Eo4Rcv4FuydPrwMFc2ZVqAJ_OCI-ID5HTNhcWnXjtykl4FGUw4Nj6FMs5lwv2Q03d3mp7piOyy2ZhgzncDyFpZscVyEMJXlQqIJDyhre4TqUc5m8OjF1weMYA7n6YFQ/jVgeghlIZ-lgmsUI03mGm2uoNX49xwRB2SlPNz7UaGE),4/1/2025 10:28am,
Kunstmatrix,https://www.kunstmatrix.com/en,"Digital Publishing,VR/AR/MR/XR,Storytelling Tools",KUNSTMATRIX enables you to create beautiful 3D showcases of your art to impress art lovers and collectors.,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1772697600000/C5pFJE8y8KIsdvRiwxyg2A/0gK-EhdNhOjVTDy2qKjDsGEHGBnPVwV7NOGOZWufYAzWC1EDGeXkwes---uXq5k-Gtpwdk-E72i-5hxcFLj8YPL30tyXEbDD-g6ZsEEzeDTOO6XmgqtmGm9LT6s_vaUzdcNFmNRjmt8P8hVkst6Pkw/O8qiyL5IeuNmmg5oCXc-w9322BktohJfvzhHG70iDSQ),4/1/2025 10:28am,
